# times, data, noise_only, signal_only
2.275390625000000000e-01 -9.078050557502570287e-23 -9.260081924858904915e-23 1.820313673563351788e-24
2.285156250000000000e-01 -2.773202472813067768e-23 -2.938699953641780486e-23 1.654974808287127177e-24
2.294921875000000000e-01 5.239761659983999723e-23 5.096367020681711102e-23 1.433946393022887313e-24
2.304687500000000000e-01 3.725408601930226165e-23 3.609214920665138894e-23 1.161936812650873994e-24
2.314453125000000000e-01 3.235808768306801549e-23 3.151200963115938329e-23 8.460780519086336637e-25
2.324218750000000000e-01 1.598425559465384290e-22 1.593482169676357367e-22 4.943389789027015775e-25
2.333984375000000000e-01 -7.280018395176634704e-23 -7.291694762218769308e-23 1.167636704213419456e-25
2.343750000000000000e-01 1.738789227201202503e-24 2.014993813517679295e-24 -2.762045863164768842e-25
2.353515625000000000e-01 8.713649178339846193e-24 9.386264925169045058e-24 -6.726157468291992322e-25
2.363281250000000000e-01 -2.154960453268098328e-23 -2.048880763554745290e-23 -1.060796897133531114e-24
2.373046875000000000e-01 6.197700595729534619e-23 6.340526181316358783e-23 -1.428255855868243101e-24
2.382812500000000000e-01 -7.772882129909310301e-23 -7.596534977694849900e-23 -1.763471522144601437e-24
2.392578125000000000e-01 -5.477422717012133210e-23 -5.271938537357083687e-23 -2.054841796550490816e-24
2.402343750000000000e-01 5.250495733292631235e-23 5.479747386843337810e-23 -2.292516535507065019e-24
2.412109375000000000e-01 -7.026329728908838890e-23 -6.779601215391903305e-23 -2.467285135169355848e-24
2.421875000000000000e-01 -8.240168399622894286e-23 -7.982937181907913788e-23 -2.572312177149808656e-24
2.431640625000000000e-01 -3.591094615203602537e-23 -3.330898675487899634e-23 -2.601959397157026823e-24
2.441406250000000000e-01 -2.881831440479083719e-23 -2.626482897709296155e-23 -2.553485427697873797e-24
2.451171875000000000e-01 -1.292793181583933602e-22 -1.268535719009775617e-22 -2.425746257415797059e-24
2.460937500000000000e-01 -4.860161442117892143e-24 -2.639442867457073624e-24 -2.220718574660818151e-24
2.470703125000000000e-01 3.621314480843434027e-23 3.815519322122151631e-23 -1.942048412787175309e-24
2.480468750000000000e-01 -5.616941379992356807e-23 -5.457292555034689572e-23 -1.596488249576677122e-24
2.490234375000000000e-01 5.269993368232544865e-23 5.389224456689073067e-23 -1.192310884565280180e-24
2.500000000000000000e-01 -7.355747631632446915e-23 -7.281692146952028724e-23 -7.405548468041777722e-25
2.509765625000000000e-01 6.112585952944963609e-23 6.137912121552536290e-23 -2.532616860757288701e-25
2.519531250000000000e-01 -6.868911563853678914e-23 -6.894447398303842188e-23 2.553583445016379715e-25
2.529296875000000000e-01 -9.046490914822351262e-23 -9.123567865826804050e-23 7.707695100445321026e-25
2.539062500000000000e-01 -1.206667935775750088e-22 -1.219438652299047084e-22 1.277071652329700710e-24
2.548828125000000000e-01 1.312866596194786227e-23 1.136969529551915801e-23 1.758970666428704998e-24
2.558593750000000000e-01 -6.763575836074396703e-24 -8.964330853379198962e-24 2.200755017304801892e-24
2.568359375000000000e-01 -7.580990838030714604e-23 -7.839814663161904576e-23 2.588238251311898254e-24
2.578125000000000000e-01 -6.787931239899217357e-25 -3.586530430590488418e-24 2.907737306600566683e-24
2.587890625000000000e-01 9.276452671668986603e-23 8.961648518946643221e-23 3.148041527223430520e-24
2.597656250000000000e-01 4.867493027366589136e-24 1.568178375878892050e-24 3.299314651487697086e-24
2.607421875000000000e-01 -4.501737377116608202e-23 -4.837228893256221381e-23 3.354915161396130313e-24
2.617187500000000000e-01 -6.517639206912160013e-23 -6.848655533880516441e-23 3.310163269683559872e-24
2.626953125000000000e-01 4.019955582788737523e-23 3.703547262846197779e-23 3.164083199425396334e-24
2.636718750000000000e-01 -5.214538385897003200e-24 -8.132562752716766271e-24 2.918024366819763071e-24
2.646484375000000000e-01 -4.908259888876397079e-23 -5.165977814491363708e-23 2.577179256149667761e-24
2.656250000000000000e-01 -4.598799727760297297e-23 -4.813697804723014475e-23 2.148980769627171415e-24
2.666015625000000000e-01 -2.550198505554713073e-23 -2.714647127461598306e-23 1.644486219068851597e-24
2.675781250000000000e-01 -1.131083532866563615e-22 -1.141849793130713232e-22 1.076626026414970197e-24
2.685546875000000000e-01 -5.777556824965348028e-23 -5.823694337601404491e-23 4.613751263605660954e-25
2.695312500000000000e-01 -1.634602907227112998e-22 -1.632760683748731325e-22 -1.842223478381617213e-25
2.705078125000000000e-01 8.892519602583588069e-23 8.976618841369969895e-23 -8.409923878638186251e-25
2.714843750000000000e-01 2.407037241295109666e-23 2.556004733000698392e-23 -1.489674917055888729e-24
2.724609375000000000e-01 2.951943143253399200e-23 3.162939914278125641e-23 -2.109967710247262575e-24
2.734375000000000000e-01 2.701738245274004977e-23 2.970008461439594466e-23 -2.682702161655897101e-24
